Date,Time,Latitude,Longitude,Type,Depth,Magnitude
2/4/1965,6:37:06,52.528,172.007,Earthquake,25,5.7
2/5/1965,22:16:02,51.487,176.558,Earthquake,30.4,5.6
2/18/1965,4:26:37,25.011,94.186,Earthquake,55,5.6
3/5/1965,6:15:04,50.928,179.511,Earthquake,30,5.5
3/24/1965,22:42:12,8.418,126.553,Earthquake,55,5.7
4/10/1965,22:53:05,-13.409,170.376,Earthquake,635,6.3
5/1/1965,21:27:54,60.35,-146.176,Earthquake,15,5.6
5/26/1965,19:44:13,-55.957,-27.875,Earthquake,125,6
6/15/1965,23:10:29,-21.025,173.574,Earthquake,25,6.2
7/6/1965,18:36:46,-4.408,155.062,Earthquake,490,6.3
8/11/1965,7:18:47,-15.67,167.216,Earthquake,30,5.8
8/20/1965,9:42:50,-18.954,-68.82,Earthquake,124,6.7
9/14/1965,8:27:18,8.382,126.895,Earthquake,35,5.8
10/3/1965,14:45:31,49.426,156.417,Earthquake,50,5.9
11/13/1965,17:59:43,-29.414,-68.166,Earthquake,45,5.7
11/28/1965,21:31:45,-4.841,103.103,Earthquake,60,5.8
12/30/1965,6:16:04,-16.673,-71.111,Earthquake,100,5.8
2/7/1966,4:26:13,29.956,69.761,Earthquake,10,6.5
3/3/1966,3:25:29,48.256,154.425,Earthquake,45.8,5.8
3/27/1966,18:53:41,8.865,-83.467,Earthquake,25,5.7
4/22/1966,3:06:35,-37.656,-73.428,Earthquake,21.4,5.9
5/23/1966,8:39:45,30.081,139.992,Earthquake,20,5.7
6/15/1966,0:59:50,-10.318,161.006,Earthquake,45,7.1
7/19/1966,1:40:56,56.241,164.754,Earthquake,15,6.4
8/16/1966,18:02:36,37.38,-114.157,Earthquake,10,5.7
9/8/1966,21:15:56,2.388,128.49,Earthquake,115,7.7
10/17/1966,21:42:00,-10.665,-78.228,Earthquake,40,8.1
12/7/1966,17:17:43,44.475,151.655,Earthquake,15,5.9
1/3/1967,11:05:17,-11.112,165.536,Earthquake,30,5.6
1/20/1967,1:57:23,48.105,103.064,Earthquake,20,6.4
2/18/1967,2:39:20,-5.873,153.267,Earthquake,35,5.6
3/17/1967,11:24:47,-3.575,150.909,Earthquake,25,6.2
4/10/1967,4:59:56,-7.359,155.753,Earthquake,35,5.7
5/27/1967,17:23:00,51.851,176.105,Earthquake,30.7,5.8
6/24/1967,21:00:26,12.531,141.665,Earthquake,20,5.7
8/1/1967,1:13:42,-13.02,-76.731,Earthquake,50,5.7
8/26/1967,2:07:10,12.273,140.896,Earthquake,20,5.6
9/20/1967,10:30:54,-49.588,163.812,Earthquake,20,5.7
10/17/1967,21:05:24,17.241,121.886,Earthquake,35,5.7
11/17/1967,4:58:57,28.381,-43.765,Earthquake,15,5.7
12/18/1967,14:04:22,12.062,143.799,Earthquake,20,5.7
1/14/1968,17:43:08,52.53,-171.418,Earthquake,10,6.2
2/12/1968,5:44:45,-5.42,153.368,Earthquake,30,7.3
3/10/1968,7:11:22,-36.391,179.575,Earthquake,70,5.8
4/26/1968,17:47:59,18.462,-103.528,Earthquake,30,6.1
5/16/1968,19:16:48,41.35,142.614,Earthquake,43.3,6.1
5/22/1968,19:29:28,40.25,142.51,Earthquake,48.5,6
6/12/1968,13:41:53,39.503,143.07,Earthquake,32.1,7
6/26/1968,10:23:51,42.037,142.897,Earthquake,45,5.8
7/27/1968,10:51:32,-19.188,176.024,Earthquake,15,5.7
8/11/1968,12:37:30,52.053,-179.955,Earthquake,165.2,5.7
8/26/1968,9:25:59,-16.321,178.161,Earthquake,20,5.8
9/20/1968,6:00:04,10.697,-62.748,Earthquake,103.4,6.5
10/14/1968,2:58:52,-31.566,117.071,Earthquake,15,6.5
11/16/1968,7:45:50,-16.596,175.932,Earthquake,35,5.9
12/7/1968,21:35:47,-20.67,169.428,Earthquake,71.6,6
1/5/1969,13:26:43,-7.97,158.888,Earthquake,60,7
1/31/1969,14:59:35,-15.426,-174.909,Earthquake,260,5.6
2/28/1969,2:40:32,36.033,-10.613,Earthquake,10,7.8
3/21/1969,4:56:18,31.296,-114.417,Earthquake,10,6
4/9/1969,12:57:25,36.825,139.853,Earthquake,110.4,5.7
4/27/1969,12:59:09,-57.655,-25.793,Earthquake,45,5.7
6/9/1969,21:53:00,-23.558,-174.819,Earthquake,15,5.8
7/7/1969,4:43:16,16.465,147.287,Earthquake,25,5.9
8/1/1969,23:43:46,45.407,150.882,Earthquake,38.4,6.3
8/12/1969,4:53:39,43.301,147.692,Earthquake,30.4,6.1
8/16/1969,17:13:42,43.097,147.648,Earthquake,32.9,5.6
8/30/1969,7:54:29,43.232,146.794,Earthquake,35,5.7
9/15/1969,18:47:42,45.532,151.738,Earthquake,38.8,5.5
10/1/1969,5:58:14,-11.803,-74.942,Earthquake,10,5.8
10/27/1969,8:10:58,44.854,17.253,Earthquake,15,6.1
12/4/1969,8:50:24,40.726,144.715,Earthquake,29.1,5.7
